School,UG/PG,Level,Unit Code,Sched unit ID,Moodle Unit Name,Block,Day,Time,Group,Unit Name,"Unit Name - Group Group, Block","Unit Name - Group Group, Block UG/PG Campus",Moodle Group Name,"MOODLE UPDATED? 
(BEAU)",Number of Sessions,,Unit Coordinator,Lecturer in Rapla,Room type,Room,"Open/
Closed",Campus,Reverse Hybrid (F2F/Online) or OSP,Comments - Academic Administration,Comments - PD,Forecast Numbers,Current Enrolments
ISY,PG,5,MBIS5018,15843,2026SS-MBIS5018,SS,Tue/Thu,5:00PM - 9:00PM,1,Business Analytics and Intelligence,"Business Analytics and Intelligence - Group 1, SS","Business Analytics and Intelligence - Group 1, SS PG SYD/MEL",Group 1: Tue/Thu 5:00PM - 9:00PM SYD/MEL,,8,Mr Johan Sebastian Vallejo,Mr Johan Sebastian Vallejo,Mr Johan Sebastian Vallejo,Online ,Online 1,Open,SYD/MEL,NO,Class combined - 14.01.2026,,,
BUS,UG,1,BBMG1003,15844,2026SS-BBMG1003,SS,Mon/Wed,8:30AM -  12:30PM,1,Business Communication and Stakeholder Management,"Business Communication and Stakeholder Management - Group 1, SS","Business Communication and Stakeholder Management - Group 1, SS UG MEL",Group 1: Mon/Wed 8:30AM -  12:30PM MEL,,8,,,,Class,Room 3,Closed,MEL,YES,,,,
BUS,UG,1,BBMG1003,15845,2026SS-BBMG1003,SS,Mon/Wed,1:00PM - 5:00PM,1,Business Communication and Stakeholder Management,"Business Communication and Stakeholder Management - Group 1, SS","Business Communication and Stakeholder Management - Group 1, SS UG SYD/MEL",Group 1: Mon/Wed 1:00PM - 5:00PM SYD/MEL,,8,Ms Claudia Garcia,Ms Claudia Garcia,Ms Claudia Garcia,Online ,Online 1,Open,SYD/MEL,NO,,,,
ISY,PG,4,MBIS4008,15896,2026SS-MBIS4008,SS,Tue,3:00PM - 5:00PM,1,Business Process Management,"Business Process Management - Group 1, SS","Business Process Management - Group 1, SS PG SYD/MEL",Group 1: Tue 3:00PM - 5:00PM SYD/MEL,,4,OSP,Dr Manzoor Ahmed Hashmani,OSP,Online ,Online 1,Open,SYD/MEL,OSP,,,,
ISY,PG,4,MBIS4008,15896,2026SS-MBIS4008,SS,Tue,3:00PM - 5:00PM,2,Business Process Management,"Business Process Management - Group 2, SS","Business Process Management - Group 2, SS PG SYD/MEL",Group 2: Tue 3:00PM - 5:00PM SYD/MEL,,4,OSP,Dr Manzoor Ahmed Hashmani,,Online ,Online 1,Closed,SYD/MEL,OSP,Will open once G1 is full - 15.12.2025,,,
ISY,UG,3,BISY3007,15846,2026SS-BISY3007,SS,Mon/Wed,5:00PM - 9:00PM,1,Cloud Services and Big Data,"Cloud Services and Big Data - Group 1, SS","Cloud Services and Big Data - Group 1, SS UG SYD",Group 1: Mon/Wed 5:00PM - 9:00PM SYD,,8,Dr Geng Sun,Dr Geng Sun,Dr Geng Sun,Class,"Level 3, Classroom 5",Open,SYD,NO,,,,
ISY,UG,3,BISY3007,15847,2026SS-BISY3007,SS,Mon/Wed,1:00PM -  5:00PM,1,Cloud Services and Big Data,"Cloud Services and Big Data - Group 1, SS","Cloud Services and Big Data - Group 1, SS UG MEL",Group 1: Mon/Wed 1:00PM -  5:00PM MEL,,8,Mr Rashidul Hasan Nabil,Dr Geng Sun,Mr Rashidul Hasan Nabil,Class,Room 3,Open,MEL,NO,Class opened - 12.01.2026,,,
ISY,UG,1,BISY1002,15848,2026SS-BISY1002,SS,Mon/Wed,1:00PM -  5:00PM,1,Database Management for Business,"Database Management for Business - Group 1, SS","Database Management for Business - Group 1, SS UG SYD",Group 1: Mon/Wed 1:00PM -  5:00PM SYD,,8,Ms Mohsina Kawser,Ms Mohsina Kawser,Ms Mohsina Kawser,Class,"Level 3, Computer Lab 4",Closed,SYD,NO,Class closed - 15.01.2026,,,
ISY,UG,1,BISY1002,15849,2026SS-BISY1002,SS,Mon/Wed,1:00PM - 5:00PM,1,Database Management for Business,"Database Management for Business - Group 1, SS","Database Management for Business - Group 1, SS UG MEL",Group 1: Mon/Wed 1:00PM - 5:00PM MEL,,8,,,,Class,Room 5,Closed,MEL,NO,,,,
ISY,PG,4,MBIS4002,15850,2026SS-MBIS4002,SS,Tue/Thu,5:00PM - 9:00PM,1,Database Management Systems,"Database Management Systems - Group 1, SS","Database Management Systems - Group 1, SS PG MEL",Group 1: Tue/Thu 5:00PM - 9:00PM MEL,,8,Dr Rehena Sulthana,Dr Guohua Liang,Dr Rehena Sulthana,Class,Room 4,Open,MEL,NO,,,,
ISY,PG,4,MBIS4002,15851,2026SS-MBIS4002,SS,Tue/Thu,5:00PM -  9:00PM,1,Database Management Systems,"Database Management Systems - Group 1, SS","Database Management Systems - Group 1, SS PG SYD",Group 1: Tue/Thu 5:00PM -  9:00PM SYD,,8,Dr Guohua Liang,Dr Guohua Liang,Dr Guohua Liang,Class,"Level 3, Computer Lab 4",Open,SYD,NO,,,,
ISY,PG,4,MBIS4004,16562,2026SS-MBIS4004,SS,Tue,08:30AM - 09:30AM,1,Systems Analysis Design,"Systems Analysis Design - Group 1, SS","Systems Analysis Design - Group 1, SS PG SYD/MEL",Group 1: Tue 08:30AM - 09:30AM SYD/MEL,,4,Mr Md Yeahia Bhuiyan,Mr Md Yeahia Bhuiyan,Mr Md Yeahia Bhuiyan,Online,Online 1,Open,SYD/MEL,NO,Self-directed for 4 students - 16.01.2026,,,
